SCHNAME,PTAC5EM_PTQ_parsed
The Elmgreen School,0.31
Saint Gabriel's College,0.49
Evelyn Grace Academy,0.52
Lilian Baylis Technology School,0.52
Norwood School,0.57
Platanos College,0.57
Lambeth Academy,0.58
Dunraven School,0.6
London Nautical School,0.63
Archbishop Tenison's School,0.64
St Martin in the Fields High School for Girls,0.68
Bishop Thomas Grant Catholic Secondary School,0.72
La Retraite Roman Catholic Girls' School,0.8
