RECTYPE,LEA,URN,SCHNAME,PCODE,TPUP,KS2APS,TPRIORLO,TPRIORAV,TPRIORHI,TFSMCLA,PTFSMCLA,TNOTFSMCLA,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ,PT24ENGPRGLO_PTQ,PT24ENGPRGAV_PTQ,PT24ENGPRGHI_PTQ,PT24MATHPRGLO_PTQ,PT24MATHPRGAV_PTQ,PT24MATHPRGHI_PTQ,PTAC5EM_PTQ,PTAC5EMLO_PTQ,PTAC5EMAV_PTQ,PTAC5EMHI_PTQ,TEBACC_E_PTQ,PTEBACC_PTQ,PTEBACENG_PTQ,PTEBACMAT_PTQ,B8VAMEA_PTQ,B8VAMEA_LO_PTQ,B8VAMEA_AV_PTQ,B8VAMEA_HI_PTQ,TAC5EMFSM_PTQ,PTAC5EMFSM_PTQ,TAC5EMNFSM_PTQ,PTAC5EMNFSM_PTQ,TEBACC_ELO_PTQ,TEBACC_EAV_PTQ,TEBACC_EHI_PTQ,PTEBACC_EFSM_PTQ,PTEBACC_ENFSM_PTQ,PTEBACCLO_PTQ,PTEBACCAV_PTQ,PTEBACCHI_PTQ,PTEBACC_FSM_PTQ,PTEBACC_NFSM_PTQ,B8VAMEA_FSM_PTQ,B8VAMEA_NFSM_PTQ,TTAPSPEPP_PTQ,TrustSchoolFlag (name),Trusts (name),TypeOfEstablishment (name),LEA_NAME,REGION,PTAC5EM_PTQ_weighted,PTAC5EMFSM_PTQ_weighted,PTAC5EMNFSM_PTQ_weighted,PTAC5EMLO_PTQ_weighted,PTAC5EMAV_PTQ_weighted,PTAC5EMHI_PTQ_weighted,PTEBACMAT_PTQ_weighted,PTEBACENG_PTQ_weighted,PTEBACC_PTQ_weighted,PTEBACC_FSM_PTQ_weighted,PTEBACC_NFSM_PTQ_weighted,PTEBACCLO_PTQ_weighted,PTEBACCAV_PTQ_weighted,PTEBACCHI_PTQ_weighted,PT24ENGPRG_PTQ_weighted,PT24ENGPRGLO_PTQ_weighted,PT24ENGPRGAV_PTQ_weighted,PT24ENGPRGHI_PTQ_weighted,PT24MATHPRG_PTQ_weighted,PT24MATHPRGLO_PTQ_weighted,PT24MATHPRGAV_PTQ_weighted,PT24MATHPRGHI_PTQ_weighted,B8VAMEA_PTQ_weighted,B8VAMEA_FSM_PTQ_weighted,B8VAMEA_NFSM_PTQ_weighted,B8VAMEA_LO_PTQ_weighted,B8VAMEA_AV_PTQ_weighted,B8VAMEA_HI_PTQ_weighted,KS2APS_weighted,PTFSMCLA_weighted,TTAPSPEPP_PTQ_weighted,EstablishmentGroup
SCH,330.0,136590.0,Kings Norton Girls' School,B30 1HW,144.0,29.3,11.0,56.0,76.0,35.0,24.0,109.0,92.0,76.0,64.0,91.0,97.0,36.0,73.0,83.0,81.0,0.0,75.0,97.0,74.0,35.0,90.0,84.0,1008.3,992.3,1019.3,1002.5,26.0,74.0,91.0,83.0,0.0,22.0,51.0,37.0,56.0,0.0,14.0,55.0,26.0,39.0,1001.1,1010.6,43.8,Linked to a trust/single academy trust,Kings Norton Girls' School,Academy Converter,Birmingham,West Midlands,117.0,26.0,91.0,0.0,42.0,73.72,120.96,129.6,25.900000000000002,3.367,23.805600000000002,0.0,3.08,28.05,132.48000000000002,7.04,50.96,73.72,109.44,3.96,40.879999999999995,63.080000000000005,145195.19999999998,35038.5,110155.40000000001,10915.3,57080.799999999996,76190.0,4219.2,35.0,6307.2,Academies
SCH,330.0,103526.0,Kingsbury School and Sports College,B24 8RE,163.0,26.3,32.0,88.0,21.0,94.0,58.0,69.0,59.0,55.0,53.0,57.0,81.0,38.0,58.0,57.0,36.0,0.0,39.0,86.0,56.0,5.0,49.0,57.0,969.4,968.4,971.4,962.5,30.0,32.0,29.0,42.0,0.0,38.0,16.0,31.0,39.0,0.0,3.0,14.0,9.0,0.0,960.4,982.7,33.2,Not applicable,,Community School,Birmingham,West Midlands,59.0,30.0,29.0,0.0,34.32,18.06,92.91000000000001,79.87,2.8000000000000003,2.6226,0.0,0.0,1.14,2.24,96.17,16.96,50.160000000000004,17.01,89.65,12.16,51.04,11.97,158012.19999999998,90277.59999999999,67806.3,30988.8,85483.2,20212.5,4286.900000000001,94.0,5411.6,LA maintained schools
SCH,330.0,139157.0,Lordswood Boys' School,B17 8BJ,105.0,26.0,26.0,57.0,13.0,60.0,57.0,45.0,25.0,43.0,27.0,21.0,38.0,12.0,56.0,54.0,10.0,0.0,11.0,31.0,8.0,3.0,15.0,48.0,960.6,968.4,957.8,957.0,4.0,7.0,7.0,16.0,0.0,6.0,2.0,2.0,16.0,0.0,4.0,8.0,2.0,4.0,945.2,980.3,37.0,Linked to a multi-academy trust,Lordswood Girls School and Sixth Form Centre,Academy Converter,Birmingham,West Midlands,11.0,4.0,7.0,0.0,6.2700000000000005,4.03,50.4,15.75,0.24,0.024,0.28800000000000003,0.0,0.24,0.16,26.25,7.0200000000000005,11.969999999999999,4.94,45.15,3.12,31.92,7.0200000000000005,100863.0,56712.0,44113.5,25178.399999999998,54594.6,12441.0,2730.0,60.0,3885.0,Academies
SCH,330.0,136592.0,Lordswood Girls' School and Sixth Form Centre,B17 8QB,125.0,28.0,13.0,66.0,41.0,34.0,27.0,91.0,81.0,75.0,46.0,82.0,90.0,15.0,74.0,93.0,75.0,0.0,73.0,100.0,66.0,40.0,82.0,78.0,1035.8,1003.0,1047.5,1027.3,21.0,62.0,73.0,80.0,0.0,30.0,32.0,38.0,58.0,0.0,26.0,73.0,32.0,43.0,1025.5,1039.9,43.9,Linked to a multi-academy trust,Lordswood Girls School and Sixth Form Centre,Academy Converter,Birmingham,West Midlands,94.0,21.0,73.0,0.0,48.18,41.0,97.5,102.50000000000001,26.400000000000002,4.1344,22.695399999999996,0.0,7.800000000000001,23.36,101.25,5.98,54.120000000000005,36.9,93.75,1.95,48.839999999999996,38.13,129475.0,34867.0,94630.90000000001,13039.0,69135.0,42119.299999999996,3500.0,34.0,5487.5,Academies
SCH,330.0,103519.0,Moseley School,B13 9UU,227.0,26.1,53.0,103.0,39.0,143.0,63.0,84.0,84.0,56.0,81.0,83.0,85.0,38.0,64.0,67.0,52.0,4.0,65.0,95.0,50.0,11.0,66.0,61.0,1025.1,1076.5,1016.6,977.8,74.0,52.0,44.0,52.0,0.0,25.0,22.0,25.0,17.0,0.0,7.0,38.0,12.0,10.0,1024.6,1026.1,36.2,-,,Foundation School,Birmingham,West Midlands,118.0,74.0,44.0,2.12,66.95,37.050000000000004,138.47,149.82,5.5,4.29,1.4280000000000002,0.0,1.7500000000000002,8.36,190.68,42.93,85.49000000000001,33.15,127.12000000000002,20.14,65.92,26.130000000000003,232697.69999999998,146517.8,86192.4,57054.5,104709.8,38134.2,5924.700000000001,143.0,8217.400000000001,LA maintained schools
SCH,330.0,136406.0,"Ninestiles School, an Academy",B27 7QG,236.0,27.9,33.0,121.0,79.0,110.0,47.0,126.0,85.0,58.0,70.0,86.0,91.0,36.0,52.0,77.0,57.0,9.0,46.0,96.0,124.0,32.0,80.0,64.0,999.8,1001.0,1003.3,994.0,49.0,45.0,86.0,68.0,0.0,50.0,74.0,41.0,63.0,0.0,17.0,70.0,23.0,40.0,988.2,1010.0,40.3,Linked to a multi-academy trust,Ninestiles Academy Trust Limited,Academy Converter,Birmingham,West Midlands,135.0,49.0,86.0,2.9699999999999998,55.660000000000004,75.84,151.04,188.8,39.68,10.373000000000001,31.752,0.0,8.5,51.800000000000004,200.6,23.1,104.06,71.89,136.88,11.879999999999999,62.92,60.83,235952.8,108702.0,127260.0,33033.0,121399.29999999999,78526.0,6584.4,110.0,9510.8,Academies
SCH,330.0,138586.0,Nishkam High School,B19 2LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a multi-academy trust,Nishkam School Trust,Free Schools,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
SCH,330.0,136032.0,North Birmingham Academy,B44 0HF,116.0,24.6,44.0,55.0,7.0,88.0,76.0,28.0,61.0,35.0,55.0,64.0,71.0,11.0,51.0,43.0,26.0,5.0,36.0,57.0,39.0,13.0,42.0,33.0,994.2,999.0,989.7,999.1,22.0,25.0,8.0,29.0,4.0,26.0,6.0,32.0,39.0,2.0,15.0,43.0,10.0,21.0,992.4,1000.4,32.9,Linked to a multi-academy trust,E-ACT,Academy Sponsor Led,Birmingham,West Midlands,30.0,22.0,8.0,2.2,19.8,3.99,38.28,48.72,5.07,2.8160000000000003,2.2931999999999997,0.08,3.9,2.58,70.76,24.200000000000003,35.2,4.97,40.6,4.84,28.05,3.01,115327.20000000001,87331.2,28011.2,43956.0,54433.5,6993.7,2853.6000000000004,88.0,3816.3999999999996,Academies
SCH,330.0,138059.0,Park View School the Academy of Mathematics and Science,B8 3HG,124.0,25.4,38.0,67.0,19.0,86.0,69.0,38.0,82.0,82.0,66.0,94.0,74.0,63.0,96.0,74.0,65.0,13.0,88.0,89.0,42.0,24.0,71.0,73.0,1044.3,1051.5,1051.1,1006.1,53.0,62.0,28.0,74.0,1.0,26.0,15.0,29.0,45.0,0.0,30.0,53.0,19.0,37.0,1041.5,1050.9,40.3,Linked to a multi-academy trust,The Core Educational Trust,Academy Converter,Birmingham,West Midlands,81.0,53.0,28.0,4.94,58.96,16.91,90.52,88.03999999999999,10.08,4.7386,6.327000000000001,0.0,7.8,7.95,101.68,25.080000000000002,62.980000000000004,14.06,101.68,23.94,64.32,14.06,129493.2,89569.0,39934.200000000004,39957.0,70423.7,19115.9,3149.6,86.0,4997.2,Academies
SCH,330.0,138200.0,Perry Beeches II The Free School,B3 1SJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a multi-academy trust,Perry Beeches The Academy Trust,Free Schools,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
SCH,330.0,139797.0,Perry Beeches III the Free School,B15 1LZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a multi-academy trust,Perry Beeches The Academy Trust,Free Schools,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
SCH,330.0,141003.0,Perry Beeches IV - The Free School,B1 3AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a multi-academy trust,Perry Beeches The Academy Trust,Free Schools,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
SCH,330.0,138141.0,Perry Beeches the Academy,B42 2PY,172.0,26.7,36.0,98.0,37.0,125.0,73.0,47.0,94.0,80.0,86.0,96.0,97.0,44.0,92.0,81.0,77.0,28.0,87.0,100.0,75.0,30.0,91.0,81.0,1028.7,1052.7,1025.4,1014.0,91.0,73.0,42.0,89.0,0.0,43.0,31.0,38.0,57.0,0.0,24.0,70.0,24.0,45.0,1029.0,1028.1,41.8,Linked to a multi-academy trust,Perry Beeches The Academy Trust,Academy Converter,Birmingham,West Midlands,133.0,91.0,42.0,10.080000000000002,85.26,37.0,139.32000000000002,156.52,22.5,11.4,12.055500000000002,0.0,10.32,21.700000000000003,161.68,30.96,94.08,35.89,137.6,15.84,90.16000000000001,29.970000000000002,176936.4,128625.0,48320.7,37897.200000000004,100489.20000000001,37518.0,4592.4,125.0,7189.599999999999,Academies
SCH,330.0,137053.0,Plantsbrook School,B72 1RB,203.0,28.6,17.0,107.0,75.0,32.0,16.0,171.0,74.0,75.0,47.0,68.0,88.0,41.0,81.0,73.0,70.0,6.0,63.0,95.0,144.0,35.0,75.0,87.0,1007.3,1020.7,1010.6,999.6,16.0,50.0,126.0,74.0,8.0,72.0,60.0,66.0,72.0,0.0,22.0,60.0,19.0,39.0,1005.5,1007.6,40.9,Linked to a multi-academy trust,Plantsbrook Learning Trust,Academy Converter,Birmingham,West Midlands,142.0,16.0,126.0,1.02,67.41,71.25,176.60999999999999,152.25,50.400000000000006,4.0128,48.016799999999996,0.0,15.84,36.0,150.22,7.99,72.76,66.0,152.25,6.970000000000001,86.67,54.75,204481.9,32176.0,172299.6,17351.9,108134.2,74970.0,5805.8,32.0,8302.699999999999,Academies
SCH,330.0,103497.0,Queensbridge School,B13 8QB,129.0,27.4,21.0,63.0,41.0,61.0,47.0,68.0,86.0,69.0,67.0,87.0,93.0,26.0,67.0,90.0,61.0,0.0,57.0,100.0,50.0,25.0,74.0,66.0,1016.0,1031.0,1014.4,1010.9,30.0,49.0,49.0,72.0,0.0,21.0,28.0,26.0,50.0,0.0,17.0,49.0,13.0,35.0,1004.7,1026.8,42.3,-,,Foundation School,Birmingham,West Midlands,79.0,30.0,49.0,0.0,35.910000000000004,41.0,85.14,95.46,12.5,2.0618000000000003,11.9,0.0,3.5700000000000003,13.719999999999999,110.94,14.07,54.81,38.13,89.01,5.46,42.21,36.9,131064.0,61286.700000000004,69822.4,21651.0,63907.2,41446.9,3534.6,61.0,5456.7,LA maintained schools
SCH,330.0,135970.0,St Alban's Academy,B12 0YH,83.0,24.9,28.0,46.0,8.0,62.0,75.0,21.0,93.0,87.0,89.0,96.0,88.0,82.0,87.0,100.0,65.0,36.0,80.0,88.0,74.0,34.0,83.0,80.0,1055.7,1067.3,1056.7,1008.7,40.0,65.0,14.0,67.0,20.0,46.0,8.0,87.0,95.0,18.0,39.0,63.0,35.0,29.0,1047.7,1078.7,39.3,Linked to a multi-academy trust,ARK Schools,Academy Sponsor Led,Birmingham,West Midlands,54.0,40.0,14.0,10.08,36.800000000000004,7.04,66.4,68.89,25.16,18.879,5.785500000000001,3.5999999999999996,17.94,5.04,77.19,24.92,44.16,7.04,72.21,22.96,40.02,8.0,87623.1,64957.4,22652.7,29884.399999999998,48608.200000000004,8069.6,2066.7,62.0,3261.8999999999996,Academies
SCH,330.0,103537.0,St Edmund Campion Catholic School & Sixth Form Centre,B23 5XA,168.0,26.9,34.0,99.0,30.0,71.0,42.0,97.0,79.0,61.0,76.0,75.0,93.0,41.0,62.0,80.0,46.0,9.0,44.0,93.0,57.0,11.0,69.0,60.0,988.2,1007.9,983.8,980.5,24.0,34.0,54.0,56.0,0.0,31.0,24.0,21.0,43.0,0.0,7.0,30.0,8.0,12.0,974.1,998.6,35.2,Not applicable,,Voluntary Aided School,Birmingham,West Midlands,78.0,24.0,54.0,3.06,43.56,27.900000000000002,100.8,115.92000000000002,6.2700000000000005,1.1928,5.0052,0.0,2.1700000000000004,7.199999999999999,132.72,25.84,74.25,27.900000000000002,102.48,13.940000000000001,61.38,24.0,166017.6,69161.1,96864.2,34268.6,97396.2,29415.0,4519.2,71.0,5913.6,LA maintained schools
SCH,330.0,103534.0,St John Wall Catholic School - A Specialist Humanities College,B21 8HH,111.0,25.7,31.0,51.0,13.0,66.0,59.0,45.0,35.0,48.0,23.0,43.0,46.0,23.0,57.0,85.0,23.0,0.0,27.0,92.0,29.0,14.0,33.0,41.0,980.1,969.6,982.1,997.4,16.0,24.0,10.0,22.0,1.0,17.0,11.0,26.0,27.0,0.0,16.0,62.0,14.0,16.0,979.0,982.0,34.4,Not applicable,,Voluntary Aided School,Birmingham,West Midlands,26.0,16.0,10.0,0.0,13.770000000000001,11.96,45.510000000000005,36.63,4.0600000000000005,2.4024,1.9440000000000002,0.0,2.72,6.82,38.85,7.13,21.93,5.98,53.28,7.13,29.070000000000004,11.049999999999999,108791.1,64614.0,44190.0,30057.600000000002,50087.1,12966.199999999999,2852.7,66.0,3818.3999999999996,LA maintained schools
SCH,330.0,103531.0,St Paul's School for Girls,B16 9SL,167.0,28.6,19.0,77.0,67.0,46.0,28.0,121.0,88.0,83.0,74.0,88.0,93.0,53.0,83.0,93.0,80.0,11.0,83.0,97.0,92.0,41.0,89.0,84.0,1033.7,1059.2,1042.3,1016.6,32.0,70.0,102.0,84.0,2.0,36.0,53.0,41.0,60.0,11.0,27.0,67.0,33.0,45.0,1031.7,1034.5,43.6,Not applicable,,Voluntary Aided School,Birmingham,West Midlands,134.0,32.0,102.0,2.09,63.910000000000004,64.99,140.28,148.63,37.720000000000006,6.2238000000000016,32.67,0.22,9.72,35.510000000000005,146.96,14.06,67.76,62.31,138.61,10.07,63.910000000000004,62.31,172627.9,47458.200000000004,125174.5,20124.8,80257.09999999999,68112.2,4776.2,46.0,7281.2,LA maintained schools
SCH,330.0,103533.0,St Thomas Aquinas Catholic School,B38 8AP,184.0,28.4,16.0,91.0,74.0,67.0,36.0,117.0,83.0,72.0,50.0,77.0,97.0,19.0,68.0,88.0,67.0,0.0,56.0,96.0,107.0,29.0,80.0,76.0,987.8,939.8,984.8,1001.8,36.0,54.0,88.0,75.0,0.0,40.0,65.0,43.0,67.0,0.0,11.0,57.0,12.0,38.0,950.7,1009.1,38.1,Not applicable,,Voluntary Aided School,Birmingham,West Midlands,124.0,36.0,88.0,0.0,50.96000000000001,71.03999999999999,139.84,147.20000000000002,31.029999999999998,3.4572,29.7882,0.0,4.4,37.050000000000004,152.72000000000003,8.0,70.07000000000001,71.78,132.48,3.04,61.88,65.12,181755.19999999998,63696.9,118064.7,15036.8,89616.8,74133.2,5225.599999999999,67.0,7010.400000000001,LA maintained schools
SCH,330.0,103480.0,Saltley School and Specialist Science College,B9 5RX,183.0,26.4,36.0,105.0,36.0,132.0,72.0,51.0,63.0,58.0,67.0,57.0,78.0,53.0,52.0,81.0,42.0,11.0,40.0,83.0,53.0,16.0,54.0,54.0,1000.8,1052.0,993.2,972.0,54.0,41.0,22.0,43.0,3.0,27.0,22.0,29.0,29.0,6.0,8.0,56.0,16.0,18.0,1002.4,996.8,35.6,Not applicable,,Community School,Birmingham,West Midlands,76.0,54.0,22.0,3.96,42.0,29.880000000000003,98.82000000000001,98.82000000000001,8.48,6.1248,2.6622,0.18,2.16,12.32,115.29,24.12,59.85000000000001,28.080000000000002,106.13999999999999,19.080000000000002,54.6,29.160000000000004,183146.4,132316.8,50836.799999999996,37872.0,104286.0,34992.0,4831.2,132.0,6514.8,LA maintained schools
SCH,330.0,103498.0,Selly Park Technology College for Girls,B29 7PH,134.0,27.2,25.0,70.0,36.0,85.0,63.0,49.0,95.0,81.0,96.0,93.0,97.0,60.0,87.0,83.0,78.0,40.0,81.0,97.0,71.0,31.0,86.0,81.0,1055.3,1093.3,1060.5,1018.7,64.0,75.0,40.0,82.0,1.0,39.0,30.0,44.0,69.0,0.0,24.0,64.0,25.0,41.0,1057.8,1050.8,42.4,Not applicable,,Community School,Birmingham,West Midlands,104.0,64.0,40.0,10.0,56.7,34.92,108.54,115.24,22.01,9.35,13.862100000000002,0.0,9.36,19.2,127.30000000000001,24.0,65.10000000000001,34.92,108.54,15.0,60.9,29.880000000000003,141410.19999999998,89913.0,51489.2,27332.5,74235.0,36673.200000000004,3644.7999999999997,85.0,5681.599999999999,LA maintained schools
SCH,330.0,135911.0,Shenley Academy,B29 4HE,111.0,26.9,25.0,64.0,21.0,69.0,62.0,42.0,78.0,49.0,72.0,78.0,86.0,32.0,52.0,57.0,44.0,4.0,44.0,90.0,25.0,9.0,68.0,51.0,957.4,961.4,951.2,971.6,23.0,33.0,26.0,62.0,0.0,9.0,15.0,16.0,33.0,0.0,5.0,29.0,4.0,17.0,951.4,967.6,35.4,Linked to a multi-academy trust,E-ACT,Academy Sponsor Led,Birmingham,West Midlands,49.0,23.0,26.0,1.0,28.16,18.900000000000002,56.61,75.48,2.25,0.44160000000000005,2.3562000000000003,0.0,0.45,4.35,86.58,18.0,49.92,18.06,54.39,8.0,33.28,11.97,106271.4,65646.59999999999,40639.200000000004,24035.0,60876.8,20403.600000000002,2985.8999999999996,69.0,3929.3999999999996,Academies
SCH,330.0,103548.0,Small Heath School,B10 9RX,217.0,27.6,30.0,127.0,57.0,130.0,60.0,87.0,69.0,56.0,23.0,71.0,88.0,27.0,51.0,82.0,51.0,10.0,42.0,93.0,118.0,23.0,67.0,60.0,988.3,988.3,991.9,980.2,62.0,48.0,48.0,55.0,5.0,65.0,48.0,53.0,56.0,3.0,14.0,53.0,24.0,21.0,983.4,995.5,37.3,-,,Foundation School,Birmingham,West Midlands,110.0,62.0,48.0,3.0,53.339999999999996,53.010000000000005,130.2,145.39000000000001,27.14,16.536,10.231200000000001,0.15,9.100000000000001,25.44,149.73000000000002,6.9,90.17,50.160000000000004,121.52000000000001,8.100000000000001,64.77,46.74,214461.09999999998,127842.0,86608.5,29649.0,125971.3,55871.4,5989.200000000001,130.0,8094.099999999999,LA maintained schools
SCH,330.0,103258.0,Starbank School,B10 9LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,Community School,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA maintained schools
SCH,330.0,138137.0,Stockland Green School,B23 7JH,141.0,25.6,38.0,75.0,18.0,80.0,57.0,61.0,78.0,49.0,58.0,81.0,100.0,26.0,56.0,67.0,43.0,11.0,47.0,94.0,56.0,10.0,68.0,49.0,1014.5,1023.7,1012.6,1003.0,30.0,38.0,31.0,51.0,3.0,35.0,13.0,36.0,44.0,0.0,8.0,39.0,11.0,8.0,1011.0,1019.4,34.3,Linked to a multi-academy trust,"Arthur Terry Learning Partnership, The",Academy Converter,Birmingham,West Midlands,61.0,30.0,31.0,4.18,35.25,16.92,69.09,95.88000000000001,5.6000000000000005,3.1679999999999997,2.1472,0.0,2.8000000000000003,5.07,109.98,22.04,60.75000000000001,18.0,69.09,9.88,42.00000000000001,12.06,143044.5,80880.0,62183.4,38900.6,75945.0,18054.0,3609.6000000000004,80.0,4836.299999999999,Academies
SCH,330.0,136778.0,Sutton Coldfield Grammar School for Girls,B73 5PT,152.0,32.2,0.0,12.0,135.0,13.0,9.0,139.0,95.0,98.0,,92.0,95.0,,92.0,99.0,99.0,,92.0,100.0,113.0,70.0,99.0,100.0,1034.8,,1066.5,1032.0,13.0,100.0,138.0,99.0,,6.0,102.0,77.0,74.0,,42.0,73.0,69.0,71.0,1033.6,1034.9,51.5,Linked to a trust/single academy trust,Sutton Coldfield Grammar School for Girls Academy Trust,Academy Converter,Birmingham,West Midlands,151.0,13.0,138.0,,11.040000000000001,135.0,152.0,150.48,79.10000000000001,6.9069,73.03059999999999,,2.52,74.46,144.4,,11.040000000000001,128.25,148.96,,11.040000000000001,133.65,157289.6,13436.8,143851.1,,12798.0,139320.0,4894.400000000001,13.0,7828.0,Academies
SCH,330.0,103514.0,Swanshurst School,B13 0TW,293.0,27.3,52.0,142.0,88.0,139.0,47.0,154.0,71.0,68.0,54.0,62.0,94.0,42.0,63.0,89.0,54.0,2.0,47.0,94.0,124.0,31.0,64.0,64.0,1025.2,1055.2,1018.8,1017.8,61.0,44.0,97.0,63.0,1.0,47.0,70.0,30.0,53.0,2.0,17.0,70.0,19.0,42.0,1020.0,1030.0,40.3,Not applicable,,Community School,Birmingham,West Midlands,158.0,61.0,97.0,1.04,66.74000000000001,82.72,187.52,187.52,38.44,7.922999999999999,34.2804,0.02,7.99,49.00000000000001,208.03,28.080000000000002,88.04,82.72,199.24,21.84,89.46,78.32000000000001,300383.60000000003,141780.0,158620.0,54870.4,144669.6,89566.4,7998.900000000001,139.0,11807.9,LA maintained schools
SCH,330.0,103500.0,Turves Green Boys' School,B31 4BS,115.0,26.6,26.0,66.0,23.0,53.0,46.0,62.0,65.0,52.0,73.0,61.0,70.0,27.0,62.0,52.0,35.0,4.0,33.0,74.0,32.0,10.0,44.0,60.0,1002.2,1065.4,995.4,950.1,10.0,19.0,30.0,48.0,0.0,15.0,17.0,19.0,35.0,0.0,3.0,43.0,6.0,15.0,988.9,1013.5,36.2,Not applicable,,Community School,Birmingham,West Midlands,40.0,10.0,30.0,1.04,21.78,17.02,69.0,50.6,3.2,0.6042,3.2550000000000003,0.0,0.44999999999999996,7.31,74.75,18.98,40.26,16.1,59.800000000000004,7.0200000000000005,40.92,11.96,115253.0,52411.7,62837.0,27700.4,65696.4,21852.3,3059.0,53.0,4163.0,LA maintained schools
SCH,330.0,103499.0,Turves Green Girls' School and Technology College,B31 4BP,136.0,27.6,19.0,79.0,34.0,53.0,39.0,83.0,77.0,66.0,53.0,75.0,94.0,26.0,65.0,88.0,61.0,5.0,57.0,97.0,50.0,19.0,81.0,63.0,1008.7,1039.1,1007.5,994.4,28.0,53.0,55.0,66.0,0.0,24.0,22.0,32.0,40.0,0.0,10.0,41.0,15.0,22.0,980.2,1027.2,41.0,Linked to a trust/single academy trust,The Endeavour Co-operative Learning Trust,Foundation School,Birmingham,West Midlands,83.0,28.0,55.0,0.9500000000000001,45.03000000000001,32.98,85.68,110.16000000000001,9.5,2.544,7.304,0.0,2.4000000000000004,9.020000000000001,104.72,10.07,59.25,31.96,89.76,4.94,51.35,29.92,137183.2,51950.600000000006,85257.6,19742.899999999998,79592.5,33809.6,3753.6000000000004,53.0,5576.0,LA maintained schools
SCH,330.0,139888.0,Washwood Heath Academy,B8 2AS,244.0,26.2,60.0,122.0,39.0,143.0,59.0,101.0,83.0,52.0,80.0,86.0,77.0,27.0,60.0,67.0,50.0,10.0,61.0,92.0,22.0,5.0,68.0,55.0,1023.7,1057.7,1019.6,983.9,69.0,48.0,53.0,52.0,1.0,10.0,9.0,8.0,11.0,2.0,5.0,13.0,4.0,7.0,1031.1,1011.6,40.1,Linked to a multi-academy trust,Washwood Heath Multi Academy Trust,Academy Converter,Birmingham,West Midlands,122.0,69.0,53.0,6.0,74.42,35.88,134.20000000000002,165.92000000000002,1.1,0.4576,0.7777000000000001,0.02,0.5,1.17,202.52,48.0,104.92,30.03,126.88000000000001,16.200000000000003,73.2,26.130000000000003,249782.80000000002,147447.3,102171.6,63462.0,124391.2,38372.1,6392.8,143.0,9784.4,Academies
SCH,330.0,103481.0,Waverley School,B9 5QA,170.0,26.1,39.0,83.0,35.0,111.0,65.0,59.0,85.0,64.0,67.0,92.0,91.0,44.0,70.0,77.0,55.0,18.0,60.0,94.0,80.0,21.0,74.0,61.0,1034.5,1056.3,1036.6,1005.5,59.0,53.0,34.0,58.0,0.0,47.0,33.0,42.0,56.0,0.0,20.0,54.0,16.0,31.0,1034.9,1033.9,38.7,Not applicable,,Community School,Birmingham,West Midlands,93.0,59.0,34.0,7.02,49.8,32.9,103.7,125.8,16.8,7.4592,10.242400000000002,0.0,9.4,17.82,144.5,26.130000000000003,76.36,31.85,108.8,17.16,58.10000000000001,26.95,175865.0,114873.90000000001,61000.100000000006,41195.7,86037.79999999999,35192.5,4437.0,111.0,6579.000000000001,LA maintained schools
SCH,330.0,103481.0,Waverley School,B9 5QA,170.0,26.1,39.0,83.0,35.0,111.0,65.0,59.0,85.0,64.0,67.0,92.0,91.0,44.0,70.0,77.0,55.0,18.0,60.0,94.0,80.0,21.0,74.0,61.0,1034.5,1056.3,1036.6,1005.5,59.0,53.0,34.0,58.0,0.0,47.0,33.0,42.0,56.0,0.0,20.0,54.0,16.0,31.0,1034.9,1033.9,38.7,Not applicable,,Community School,Birmingham,West Midlands,93.0,59.0,34.0,7.02,49.8,32.9,103.7,125.8,16.8,7.4592,10.242400000000002,0.0,9.4,17.82,144.5,26.130000000000003,76.36,31.85,108.8,17.16,58.10000000000001,26.95,175865.0,114873.90000000001,61000.100000000006,41195.7,86037.79999999999,35192.5,4437.0,111.0,6579.000000000001,LA maintained schools
SCH,330.0,139788.0,Waverley Studio College,B9 5QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a multi-academy trust,Waverley Education Foundation Limited,Studio Schools,Birmingham,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
