RECTYPE,LEA,URN,SCHNAME,PCODE,TPUP,KS2APS,TPRIORLO,TPRIORAV,TPRIORHI,TFSMCLA,PTFSMCLA,TNOTFSMCLA,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ,PT24ENGPRGLO_PTQ,PT24ENGPRGAV_PTQ,PT24ENGPRGHI_PTQ,PT24MATHPRGLO_PTQ,PT24MATHPRGAV_PTQ,PT24MATHPRGHI_PTQ,PTAC5EM_PTQ,PTAC5EMLO_PTQ,PTAC5EMAV_PTQ,PTAC5EMHI_PTQ,TEBACC_E_PTQ,PTEBACC_PTQ,PTEBACENG_PTQ,PTEBACMAT_PTQ,B8VAMEA_PTQ,B8VAMEA_LO_PTQ,B8VAMEA_AV_PTQ,B8VAMEA_HI_PTQ,TAC5EMFSM_PTQ,PTAC5EMFSM_PTQ,TAC5EMNFSM_PTQ,PTAC5EMNFSM_PTQ,TEBACC_ELO_PTQ,TEBACC_EAV_PTQ,TEBACC_EHI_PTQ,PTEBACC_EFSM_PTQ,PTEBACC_ENFSM_PTQ,PTEBACCLO_PTQ,PTEBACCAV_PTQ,PTEBACCHI_PTQ,PTEBACC_FSM_PTQ,PTEBACC_NFSM_PTQ,B8VAMEA_FSM_PTQ,B8VAMEA_NFSM_PTQ,TTAPSPEPP_PTQ,TrustSchoolFlag (name),Trusts (name),TypeOfEstablishment (name),LEA_NAME,REGION,PTAC5EM_PTQ_weighted,PTAC5EMFSM_PTQ_weighted,PTAC5EMNFSM_PTQ_weighted,PTAC5EMLO_PTQ_weighted,PTAC5EMAV_PTQ_weighted,PTAC5EMHI_PTQ_weighted,PTEBACMAT_PTQ_weighted,PTEBACENG_PTQ_weighted,PTEBACC_PTQ_weighted,PTEBACC_FSM_PTQ_weighted,PTEBACC_NFSM_PTQ_weighted,PTEBACCLO_PTQ_weighted,PTEBACCAV_PTQ_weighted,PTEBACCHI_PTQ_weighted,PT24ENGPRG_PTQ_weighted,PT24ENGPRGLO_PTQ_weighted,PT24ENGPRGAV_PTQ_weighted,PT24ENGPRGHI_PTQ_weighted,PT24MATHPRG_PTQ_weighted,PT24MATHPRGLO_PTQ_weighted,PT24MATHPRGAV_PTQ_weighted,PT24MATHPRGHI_PTQ_weighted,B8VAMEA_PTQ_weighted,B8VAMEA_FSM_PTQ_weighted,B8VAMEA_NFSM_PTQ_weighted,B8VAMEA_LO_PTQ_weighted,B8VAMEA_AV_PTQ_weighted,B8VAMEA_HI_PTQ_weighted,KS2APS_weighted,PTFSMCLA_weighted,TTAPSPEPP_PTQ_weighted,EstablishmentGroup
SCH,202.0,100056.0,William Ellis School,NW5 1RN,117.0,28.0,17.0,59.0,36.0,68.0,58.0,49.0,84.0,70.0,82.0,81.0,89.0,35.0,64.0,92.0,66.0,18.0,61.0,92.0,72.0,41.0,77.0,74.0,998.8,984.2,1002.6,999.4,37.0,54.0,40.0,82.0,2.0,33.0,34.0,49.0,80.0,0.0,27.0,83.0,25.0,63.0,982.8,1022.5,40.3,Not applicable,,Voluntary Aided School,Camden,London,77.0,37.0,40.0,3.06,35.99,33.120000000000005,86.58,90.09,29.520000000000003,8.33,24.696,0.0,8.91,28.220000000000002,98.28,13.940000000000001,47.790000000000006,32.04,81.9,5.95,37.76,33.120000000000005,116859.59999999999,66830.4,50102.5,16731.4,59153.4,35978.4,3276.0,68.0,4715.099999999999,LA maintained schools
LA,202.0,,,,1410.0,27.5,202.0,709.0,410.0,806.0,57.2,604.0,74.7,69.0,56.2,75.2,83.9,35.1,70.1,82.7,60.5,9.9,58.3,90.5,586.0,27.4,71.8,70.2,,,,,420.0,52.1,433.0,71.7,20.0,269.0,269.0,32.9,53.1,1.5,18.5,56.6,17.7,40.2,,,39.0,,,,Camden,London,853.0,420.0,433.0,19.998,413.347,371.05,989.82,1012.38,160.564,46.935798000000005,128.931048,0.3,49.765,152.25400000000002,1053.27,113.52400000000002,533.168,343.99,972.9000000000001,70.902,497.00899999999996,339.07000000000005,,,,,,,38775.0,806.0,54990.0,
SCH,203.0,100195.0,Blackheath Bluecoat Church of England School,SE3 8SY,93.0,26.5,20.0,44.0,16.0,40.0,43.0,53.0,84.0,76.0,94.0,80.0,81.0,63.0,77.0,81.0,62.0,35.0,68.0,88.0,25.0,14.0,73.0,71.0,1043.1,1092.3,1031.0,1014.6,22.0,55.0,36.0,68.0,3.0,15.0,3.0,25.0,28.0,5.0,16.0,13.0,10.0,17.0,1032.8,1052.3,41.5,Not applicable,,Voluntary Aided School,Greenwich,London,58.0,22.0,36.0,7.000000000000001,29.92,14.08,66.03,67.89,3.5000000000000004,1.0,2.5228000000000006,0.15000000000000002,2.4,0.39,78.11999999999999,18.8,35.2,12.96,70.68,12.6,33.88,12.96,97008.29999999999,41312.0,55771.899999999994,21846.0,45364.0,16233.6,2464.5,40.0,3859.5,LA maintained schools
SCH,203.0,137473.0,Corelli College,SE3 8EP,172.0,26.1,35.0,78.0,29.0,155.0,90.0,17.0,85.0,66.0,79.0,85.0,90.0,49.0,63.0,79.0,47.0,11.0,44.0,86.0,46.0,12.0,74.0,66.0,989.7,1000.2,988.0,981.5,70.0,45.0,11.0,65.0,1.0,20.0,15.0,28.0,18.0,0.0,10.0,28.0,12.0,12.0,989.5,,35.9,Linked to a trust/single academy trust,Corelli College Co-operative Academy Trust,Academy Converter,Greenwich,London,81.0,70.0,11.0,3.85,34.32,24.94,113.52000000000001,127.28,5.52,5.208,0.36719999999999997,0.0,2.0,4.2,146.2,27.650000000000002,66.3,26.1,113.52000000000001,17.15,49.14,22.91,170228.4,153372.5,,35007.0,77064.0,28463.5,4489.2,155.0,6174.8,Academies
SCH,203.0,100189.0,Crown Woods College,SE9 2QN,235.0,27.3,32.0,112.0,66.0,112.0,48.0,123.0,82.0,65.0,56.0,82.0,92.0,41.0,58.0,86.0,65.0,13.0,58.0,98.0,90.0,28.0,77.0,69.0,1011.6,1019.9,1013.0,1005.2,61.0,54.0,91.0,74.0,0.0,29.0,53.0,29.0,47.0,0.0,13.0,70.0,21.0,34.0,1000.2,1022.2,39.3,Not applicable,,Community School,Greenwich,London,152.0,61.0,91.0,4.16,64.96,64.67999999999999,162.15,180.95000000000002,25.200000000000003,6.820799999999999,19.655400000000004,0.0,3.77,37.1,192.70000000000002,17.92,91.84,60.720000000000006,152.75,13.120000000000001,64.96,56.76,237726.0,112022.40000000001,125730.6,32636.8,113456.0,66343.2,6415.5,112.0,9235.5,LA maintained schools
SCH,203.0,100182.0,Eltham Hill School,SE9 5EE,170.0,27.2,22.0,104.0,29.0,87.0,51.0,83.0,79.0,56.0,73.0,77.0,93.0,36.0,54.0,79.0,44.0,9.0,42.0,90.0,58.0,19.0,74.0,49.0,1025.6,1055.9,1023.0,1012.1,27.0,31.0,48.0,58.0,4.0,34.0,19.0,25.0,43.0,5.0,14.0,59.0,9.0,30.0,1015.8,1036.4,39.4,Not applicable,,Community School,Greenwich,London,75.0,27.0,48.0,1.98,43.68,26.1,83.3,125.8,11.02,1.9575,10.706999999999999,0.2,4.760000000000001,11.209999999999999,134.3,16.06,80.08,26.970000000000002,95.2,7.92,56.160000000000004,22.91,174351.99999999997,88374.59999999999,86021.20000000001,23229.800000000003,106392.0,29350.9,4624.0,87.0,6698.0,LA maintained schools
SCH,203.0,138245.0,The Greenwich Free School,SE18 4LH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked to a trust/single academy trust,"Greenwich Free School Group, The",Free Schools,Greenwich,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Schools
SCH,203.0,138449.0,Harris Academy Greenwich,SE9 5EQ,153.0,26.8,29.0,84.0,28.0,89.0,58.0,64.0,91.0,77.0,93.0,92.0,86.0,76.0,75.0,82.0,70.0,41.0,70.0,100.0,37.0,17.0,86.0,76.0,1053.3,1116.4,1047.2,1006.3,56.0,63.0,51.0,80.0,2.0,21.0,12.0,20.0,30.0,3.0,15.0,39.0,11.0,25.0,1054.8,1051.2,41.4,Linked to a multi-academy trust,Harris Federation,Academy Sponsor Led,Greenwich,London,107.0,56.0,51.0,11.89,58.800000000000004,28.0,116.28,131.57999999999998,6.29,1.9580000000000002,4.8,0.06,3.15,4.68,139.23000000000002,26.970000000000002,77.28,24.08,117.81,22.04,63.0,22.96,161154.9,93877.2,67276.8,32375.600000000002,87964.8,28176.399999999998,4100.400000000001,89.0,6334.2,Academies
SCH,203.0,100192.0,The John Roan School,SE3 7UD,206.0,27.3,39.0,105.0,53.0,101.0,49.0,105.0,63.0,59.0,47.0,63.0,74.0,39.0,64.0,62.0,51.0,10.0,50.0,81.0,100.0,25.0,58.0,61.0,998.0,1020.9,998.2,980.7,40.0,40.0,65.0,62.0,5.0,51.0,39.0,41.0,56.0,3.0,17.0,55.0,17.0,33.0,982.9,1012.9,39.2,Not applicable,,Voluntary Controlled School,Greenwich,London,105.0,40.0,65.0,3.9000000000000004,52.5,42.93,125.66,119.47999999999999,25.0,7.039700000000001,19.404000000000003,0.15,8.67,21.450000000000003,129.78,18.330000000000002,66.15,39.22,121.53999999999999,15.21,67.2,32.86,205588.0,99272.9,106354.5,39815.1,104811.0,51977.100000000006,5623.8,101.0,8075.200000000001,LA maintained schools
SCH,203.0,100183.0,Plumstead Manor School,SE18 1QF,233.0,26.9,42.0,123.0,51.0,106.0,45.0,127.0,75.0,61.0,62.0,76.0,92.0,40.0,63.0,75.0,56.0,17.0,59.0,92.0,93.0,25.0,73.0,60.0,1026.5,1040.2,1027.7,1012.3,57.0,54.0,74.0,58.0,4.0,53.0,33.0,35.0,44.0,2.0,24.0,51.0,24.0,26.0,1017.3,1034.1,39.1,Not applicable,,Community School,Greenwich,London,131.0,57.0,74.0,7.140000000000001,72.57,46.92,139.79999999999998,170.09,23.25,8.904,14.5288,0.08,12.719999999999999,16.830000000000002,174.75,26.04,93.48,46.92,142.13,16.8,77.49,38.25,239174.5,107833.79999999999,131330.69999999998,43688.4,126407.1,51627.299999999996,6267.7,106.0,9110.300000000001,LA maintained schools
