,LEA,SCHNAME,PTAC5EM_PTQ,PTEBACC_PTQ,PTAC5EMFSM_PTQ,PT24ENGPRG_PTQ,PT24MATHPRG_PTQ
0,Camden (202),Acland Burghley School,0.57,0.34,0.43,0.65,0.59
1,Camden (202),The Camden School for Girls,0.76,0.5,0.63,0.8,0.78
2,Camden (202),Hampstead School,0.53,0.27,0.47,0.6,0.78
3,Camden (202),Haverstock School,0.54,0.1,0.53,0.8,0.67
4,Camden (202),La Sainte Union Catholic Secondary School,0.81,0.38,0.78,0.92,0.76
5,Camden (202),Maria Fidelis Roman Catholic Convent School FCJ,0.61,0.16,0.54,0.77,0.75
6,Camden (202),Parliament Hill School,0.67,0.32,0.61,0.82,0.69
7,Camden (202),Regent High School,0.49,0.08,0.51,0.74,0.69
8,Camden (202),The UCL Academy,,,,,
9,Camden (202),William Ellis School,0.66,0.41,0.54,0.84,0.7
10,Greenwich (203),Blackheath Bluecoat Church of England School,0.62,0.14,0.55,0.84,0.76
11,Greenwich (203),Corelli College,0.47,0.12,0.45,0.85,0.66
12,Greenwich (203),Crown Woods College,0.65,0.28,0.54,0.82,0.65
13,Greenwich (203),Eltham Hill School,0.44,0.19,0.31,0.79,0.56
14,Greenwich (203),The Greenwich Free School,,,,,
15,Greenwich (203),Harris Academy Greenwich,0.7,0.17,0.63,0.91,0.77
16,Greenwich (203),The John Roan School,0.51,0.25,0.4,0.63,0.59
17,Greenwich (203),Plumstead Manor School,0.56,0.25,0.54,0.75,0.61
18,Greenwich (203),St Paul's Academy,0.62,0.2,0.49,0.83,0.63
19,Greenwich (203),St Thomas More Roman Catholic Comprehensive School,0.83,0.45,0.69,0.92,0.9
20,Greenwich (203),St Ursula's Convent School,0.86,0.65,0.8,0.95,0.96
21,Greenwich (203),Thomas Tallis School,0.53,0.21,0.42,0.79,0.53
22,Greenwich (203),"University Technical College, Royal Borough of Greenwich",,,,,
23,Greenwich (203),Woolwich Polytechnic School for Boys,0.69,0.35,0.64,0.88,0.8
24,Hackney (204),The Bridge Academy,0.48,0.3,0.38,0.72,0.65
25,Hackney (204),Cardinal Pole Roman Catholic School,0.55,0.15,0.56,0.65,0.79
26,Hackney (204),"The City Academy, Hackney",0.81,0.65,0.76,0.97,0.92
27,Hackney (204),Clapton Girls' Academy,0.75,0.45,0.68,0.89,0.84
28,Hackney (204),Hackney New School,,,,,
29,Hackney (204),Hackney University Technical College,0.29,0.12,0.21,0.64,0.49
30,Hackney (204),Haggerston School,0.46,0.14,0.48,0.59,0.7
31,Hackney (204),Lubavitch House School (Senior Girls),0.68,0.0,,0.83,0.89
32,Hackney (204),Mossbourne Community Academy,0.87,0.61,0.81,0.96,0.95
33,Hackney (204),Our Lady's Convent Roman Catholic High School,0.56,0.35,0.5,0.83,0.64
34,Hackney (204),The Petchey Academy,0.55,0.19,0.54,0.73,0.76
35,Hackney (204),Skinners' Academy,,,,,
36,Hackney (204),Stoke Newington School and Sixth Form,0.55,0.29,0.35,0.7,0.75
37,Hackney (204),The Urswick School - A Church of England Secondary School,0.38,0.27,0.37,0.76,0.58
38,Hackney (204),Yesodey Hatorah Senior Girls School,0.63,0.5,,0.68,0.89
39,Hammersmith and Fulham (205),Burlington Danes Academy,0.79,0.45,0.75,0.87,0.92
40,Hammersmith and Fulham (205),Fulham College Boys' School,0.41,0.13,0.39,0.65,0.58
41,Hammersmith and Fulham (205),Fulham Cross Girls' School and Language College,0.65,0.33,0.58,0.83,0.68
42,Hammersmith and Fulham (205),Hammersmith Academy,,,,,
43,Hammersmith and Fulham (205),Hurlingham and Chelsea Secondary School,0.42,0.19,0.33,0.58,0.65
44,Hammersmith and Fulham (205),Lady Margaret School,0.75,0.4,0.65,0.77,0.79
45,Hammersmith and Fulham (205),The London Oratory School,0.86,0.67,0.53,0.9,0.9
46,Hammersmith and Fulham (205),Phoenix High School,0.49,0.14,0.45,0.75,0.57
47,Hammersmith and Fulham (205),Sacred Heart High School,0.92,0.61,0.9,0.9,0.96
48,Hammersmith and Fulham (205),West London Free School,,,,,
49,Islington (206),Central Foundation Boys' School,0.84,0.31,0.8,0.93,0.91
50,Islington (206),City of London Academy - Islington,0.7,0.26,0.65,0.9,0.8
51,Islington (206),Elizabeth Garrett Anderson School,0.63,0.28,0.58,0.75,0.71
52,Islington (206),Highbury Fields School,0.65,0.43,0.62,0.94,0.77
53,Islington (206),Highbury Grove School,0.46,0.13,0.45,0.91,0.55
54,Islington (206),Holloway School,0.46,0.17,0.44,0.72,0.63
55,Islington (206),Islington Arts and Media School,0.57,0.18,0.56,0.88,0.68
56,Islington (206),Mount Carmel Catholic College for Girls,0.55,0.19,0.52,0.86,0.68
57,Islington (206),St Aloysius RC College,0.65,0.4,0.61,0.78,0.82
58,Islington (206),St Mary Magdalene Academy,0.63,0.3,0.54,0.77,0.8
59,Kensington and Chelsea (207),The Cardinal Vaughan Memorial RC School,0.93,0.75,0.77,0.93,0.97
60,Kensington and Chelsea (207),Chelsea Academy,0.67,0.27,0.66,0.74,0.82
61,Kensington and Chelsea (207),Holland Park School,0.84,0.48,0.79,0.93,0.84
62,Kensington and Chelsea (207),Saint Thomas More Language College,0.67,0.35,0.5,0.74,0.74
63,Kensington and Chelsea (207),Sion-Manning RC Girls' School,0.53,0.21,0.47,0.69,0.68
64,Lambeth (208),Archbishop Tenison's School,0.64,0.16,0.68,0.67,0.76
65,Lambeth (208),Bishop Thomas Grant Catholic Secondary School,0.72,0.34,0.69,0.97,0.83
66,Lambeth (208),City Heights E-ACT Academy,,,,,
67,Lambeth (208),Dunraven School,0.6,0.35,0.48,0.75,0.69
68,Lambeth (208),Durand Academy,,,,,
69,Lambeth (208),The Elmgreen School,0.31,0.19,0.2,0.59,0.35
70,Lambeth (208),Evelyn Grace Academy,0.52,0.24,0.51,0.83,0.72
71,Lambeth (208),La Retraite Roman Catholic Girls' School,0.8,0.41,0.8,0.85,0.83
72,Lambeth (208),Lambeth Academy,0.58,0.23,0.56,0.76,0.77
73,Lambeth (208),Lilian Baylis Technology School,0.52,0.21,,0.85,0.6
74,Lambeth (208),London Nautical School,0.63,0.27,0.38,0.8,0.74
75,Lambeth (208),Norwood School,0.57,0.22,0.52,0.91,0.67
76,Lambeth (208),Oasis Academy South Bank,,,,,
77,Lambeth (208),Platanos College,0.57,0.28,0.58,0.73,0.88
78,Lambeth (208),Saint Gabriel's College,0.49,0.41,0.49,0.9,0.6
79,Lambeth (208),St Martin in the Fields High School for Girls,0.68,0.29,0.64,0.82,0.7
80,Lewisham (209),Addey and Stanhope School,0.62,0.06,0.58,0.85,0.77
81,Lewisham (209),Bonus Pastor Catholic College,0.67,0.14,0.55,0.94,0.67
82,Lewisham (209),Conisborough College,0.41,0.15,0.32,0.8,0.53
83,Lewisham (209),Deptford Green School,0.44,0.18,0.41,0.81,0.67
84,Lewisham (209),Forest Hill School,0.58,0.19,0.46,0.75,0.74
85,Lewisham (209),Haberdashers' Aske's Hatcham College,0.64,0.36,0.45,0.75,0.74
86,Lewisham (209),Haberdashers' Aske's Knights Academy,0.53,0.13,0.44,0.8,0.6
87,Lewisham (209),Prendergast - Ladywell Fields College,0.38,0.08,0.33,0.77,0.43
88,Lewisham (209),Prendergast - Vale College,,,,,
89,Lewisham (209),Prendergast-Hilly Fields College,0.77,0.34,0.72,0.88,0.79
90,Lewisham (209),St Matthew Academy,0.5,0.12,0.44,0.8,0.59
91,Lewisham (209),Sedgehill School,0.44,0.1,0.38,0.67,0.57
92,Lewisham (209),Sydenham School,0.56,0.29,0.35,0.71,0.65
93,Lewisham (209),"Trinity Church of England School, Lewisham",0.33,0.15,0.18,0.69,0.49
94,Southwark (210),ARK All Saints Academy,,,,,
95,Southwark (210),ARK Globe Academy,0.55,0.18,0.51,0.73,0.71
96,Southwark (210),Bacon's College,0.59,0.24,0.57,0.67,0.71
97,Southwark (210),The Charter School,0.67,0.45,0.38,0.86,0.69
98,Southwark (210),City of London Academy (Southwark),0.56,0.22,0.53,0.7,0.74
99,Southwark (210),Compass School Southwark,,,,,
100,Southwark (210),Harris Academy Bermondsey,0.51,0.11,0.5,0.73,0.64
101,Southwark (210),Harris Academy Peckham,0.5,0.06,0.47,0.89,0.79
102,Southwark (210),Harris Boys' Academy East Dulwich,0.71,0.27,0.62,0.88,0.84
103,Southwark (210),Harris Girls' Academy East Dulwich,0.56,0.26,0.55,0.82,0.71
104,Southwark (210),Kingsdale Foundation School,0.76,0.33,0.65,0.86,0.74
105,Southwark (210),Notre Dame Roman Catholic Girls' School,0.55,0.31,0.51,0.77,0.63
106,Southwark (210),Sacred Heart Catholic School,0.77,0.63,0.62,0.9,0.87
107,Southwark (210),St Michael's Catholic College,0.75,0.51,0.77,0.84,0.81
108,Southwark (210),St Saviour's and St Olave's Church of England School,0.73,0.43,0.63,0.89,0.82
109,Southwark (210),The St Thomas the Apostle College,0.76,0.5,0.72,0.95,0.91
110,Southwark (210),Walworth Academy,0.56,0.23,0.53,0.69,0.79
111,Tower Hamlets (211),Bethnal Green Academy,0.8,0.36,0.8,0.97,0.88
112,Tower Hamlets (211),Bishop Challoner Catholic Collegiate Boys School,0.39,0.14,0.21,0.49,0.6
113,Tower Hamlets (211),Bishop Challoner Catholic Collegiate Girls School,0.62,0.18,0.52,0.72,0.75
114,Tower Hamlets (211),Bow School,0.53,0.25,0.5,0.63,0.61
115,Tower Hamlets (211),Central Foundation Girls' School,0.66,0.2,0.64,0.83,0.72
116,Tower Hamlets (211),George Green's School,0.43,0.15,0.35,0.73,0.52
117,Tower Hamlets (211),Langdon Park Community School,0.46,0.18,0.44,0.74,0.54
118,Tower Hamlets (211),Morpeth School,0.7,0.24,0.69,0.79,0.7
119,Tower Hamlets (211),Mulberry School for Girls,0.68,0.48,0.64,0.8,0.75
120,Tower Hamlets (211),Oaklands School,0.66,0.21,0.69,0.88,0.73
121,Tower Hamlets (211),Raine's Foundation School,0.46,0.08,0.38,0.64,0.47
122,Tower Hamlets (211),St Paul's Way Trust School,0.57,0.28,0.55,0.83,0.68
123,Tower Hamlets (211),Sir John Cass Foundation and Redcoat Church of England Secondary School,0.79,0.48,0.78,0.87,0.9
124,Tower Hamlets (211),Stepney Green Mathematics and Computing College,0.6,0.19,0.57,0.76,0.74
125,Tower Hamlets (211),Swanlea School,0.59,0.24,0.56,0.7,0.74
126,Tower Hamlets (211),Wapping High School,,,,,
127,Wandsworth (212),ARK Putney Academy,0.62,0.27,0.51,0.82,0.91
128,Wandsworth (212),Ashcroft Technology Academy,0.65,0.47,0.57,0.81,0.69
129,Wandsworth (212),Battersea Park School,0.45,0.16,0.35,0.76,0.62
130,Wandsworth (212),Bolingbroke Academy,,,,,
131,Wandsworth (212),Burntwood School,0.65,0.4,0.5,0.8,0.72
132,Wandsworth (212),Chestnut Grove School,0.59,0.27,0.46,0.85,0.66
133,Wandsworth (212),Ernest Bevin College,0.55,0.28,0.54,0.7,0.72
134,Wandsworth (212),Graveney School,0.86,0.51,0.68,0.92,0.89
135,Wandsworth (212),"Saint Cecilia's, Wandsworth Church of England School",0.7,0.39,0.5,0.72,0.86
136,Wandsworth (212),Saint John Bosco College,0.47,0.2,0.25,0.64,0.71
137,Wandsworth (212),Southfields Academy,0.45,0.06,0.42,0.67,0.63
138,Westminster (213),The Grey Coat Hospital,0.82,0.65,0.69,0.85,0.83
139,Westminster (213),King Solomon Academy,0.93,0.76,0.95,0.98,0.95
140,Westminster (213),Paddington Academy,0.83,0.24,0.81,0.98,0.91
141,Westminster (213),Pimlico Academy,0.63,0.37,0.58,0.84,0.75
142,Westminster (213),Quintin Kynaston Academy,0.54,0.21,0.5,0.75,0.63
143,Westminster (213),St Augustine's CofE High School,0.63,0.27,0.59,0.79,0.88
144,Westminster (213),St George's Catholic School,0.55,0.23,0.53,0.74,0.74
145,Westminster (213),The St Marylebone CofE School,0.78,0.55,0.63,0.87,0.83
146,Westminster (213),Westminster Academy,0.7,0.21,0.69,0.89,0.81
147,Westminster (213),Westminster City School,0.57,0.26,0.42,0.7,0.75
148,Barking and Dagenham (301),All Saints Catholic School and Technology College,0.68,0.16,0.46,0.9,0.72
149,Barking and Dagenham (301),"Barking Abbey School, A Specialist Sports and Humanities College",0.72,0.17,0.57,0.85,0.78
150,Barking and Dagenham (301),Dagenham Park CofE School,0.5,0.06,0.45,0.8,0.72
151,Barking and Dagenham (301),Eastbrook Comprehensive School,0.39,0.1,0.32,0.54,0.49
152,Barking and Dagenham (301),Eastbury Comprehensive School,0.56,0.17,0.47,0.84,0.6
153,Barking and Dagenham (301),Jo Richardson Community School,0.6,0.21,0.44,0.82,0.68
154,Barking and Dagenham (301),Riverside School,,,,,
155,Barking and Dagenham (301),Robert Clack School,0.62,0.33,0.53,0.76,0.67
156,Barking and Dagenham (301),The Sydney Russell School,0.63,0.42,0.5,0.91,0.59
157,Barking and Dagenham (301),The Warren Comprehensive School,0.5,0.05,0.46,0.81,0.62
158,Barnet (302),The Archer Academy,,,,,
159,Barnet (302),Ashmole Academy,0.79,0.61,0.54,0.9,0.88
160,Barnet (302),Bishop Douglass School Finchley,0.42,0.16,0.39,0.66,0.62
161,Barnet (302),Christ's College Finchley,0.56,0.39,0.45,0.74,0.77
162,Barnet (302),The Compton School,0.73,0.34,0.59,0.91,0.84
163,Barnet (302),Copthall School,0.56,0.33,0.41,0.72,0.65
164,Barnet (302),East Barnet School,0.63,0.37,0.47,0.81,0.68
165,Barnet (302),Finchley Catholic High School,0.77,0.37,0.68,0.9,0.82
166,Barnet (302),Friern Barnet School,0.41,0.26,0.29,0.61,0.55
167,Barnet (302),Hasmonean High School,0.82,0.62,0.53,0.94,0.88
168,Barnet (302),Hendon School,0.65,0.4,0.61,0.89,0.74
169,Barnet (302),The Henrietta Barnett School,1.0,0.93,,0.99,1.0
170,Barnet (302),JCoSS,,,,,
171,Barnet (302),London Academy,0.63,0.22,0.55,0.85,0.73
172,Barnet (302),Mill Hill County High School,0.69,0.56,0.38,0.79,0.76
173,Barnet (302),Queen Elizabeth's Girls' School,0.74,0.5,0.51,0.81,0.85
174,Barnet (302),"Queen Elizabeth's School, Barnet",1.0,0.99,1.0,0.99,1.0
175,Barnet (302),St Andrew the Apostle Greek Orthodox School,,,,,
176,Barnet (302),St James' Catholic High School,0.74,0.36,0.71,0.92,0.75
177,Barnet (302),St Mary's CofE High School,0.43,0.2,0.36,0.65,0.66
178,Barnet (302),St Michael's Catholic Grammar School,0.98,0.91,1.0,0.98,0.96
179,Barnet (302),The Totteridge Academy,0.42,0.12,0.36,0.69,0.6
180,Barnet (302),Whitefield School,0.49,0.16,0.36,0.73,0.7
181,Barnet (302),Wren Academy,0.77,0.5,0.67,0.89,0.82
182,Bexley (303),Beths Grammar School,0.99,0.7,1.0,0.97,0.94
183,Bexley (303),Bexley Grammar School,0.96,0.69,0.92,0.94,0.94
184,Bexley (303),Bexleyheath Academy,0.49,0.02,0.35,0.73,0.6
185,Bexley (303),Blackfen School for Girls,0.62,0.17,0.36,0.67,0.71
186,Bexley (303),The Business Academy Bexley,0.37,0.08,0.32,0.7,0.56
187,Bexley (303),Chislehurst and Sidcup Grammar School,0.98,0.65,1.0,0.9,0.97
188,Bexley (303),Cleeve Park School,0.53,0.1,0.32,0.86,0.64
189,Bexley (303),Erith Secondary School,0.38,0.08,0.21,0.54,0.52
190,Bexley (303),Haberdashers' Aske's Crayford Academy,,,,,
191,Bexley (303),Harris Academy Falconwood,0.64,0.16,0.63,0.92,0.75
192,Bexley (303),Hurstmere School,0.48,0.17,0.45,0.52,0.82
193,Bexley (303),St Catherine's Catholic School for Girls,0.79,0.48,0.6,0.85,0.86
194,Bexley (303),St Columba's Catholic Boys' School,0.59,0.24,0.42,0.67,0.74
195,Bexley (303),Townley Grammar School,0.99,0.81,1.0,0.93,0.97
196,Bexley (303),"Trinity Church of England School, Belvedere",0.45,0.22,0.23,0.64,0.58
197,Bexley (303),Welling School,0.28,0.06,0.23,0.43,0.31
198,Brent (304),Alperton Community School,0.5,0.17,0.53,0.72,0.7
199,Brent (304),Ark Academy,,,,,
200,Brent (304),Capital City Academy,0.52,0.23,0.46,0.74,0.76
201,Brent (304),Claremont High School,0.66,0.45,0.51,0.79,0.8
202,Brent (304),Convent of Jesus and Mary Language College,0.56,0.26,0.51,0.87,0.62
203,Brent (304),Copland Community School,0.46,0.18,0.36,0.58,0.64
204,Brent (304),The Crest Academies,0.38,0.17,0.31,0.75,0.52
205,Brent (304),The Crest Boys' Academy,0.3,0.03,0.3,0.65,0.49
206,Brent (304),JFS,0.77,0.55,0.51,0.86,0.82
207,Brent (304),Kingsbury High School,0.69,0.36,0.56,0.93,0.75
208,Brent (304),Newman Catholic College,0.43,0.12,0.4,0.74,0.69
209,Brent (304),Preston Manor School,0.64,0.41,0.57,0.83,0.75
210,Brent (304),Queens Park Community School,0.59,0.12,0.38,0.7,0.76
211,Brent (304),St Gregory RC High School,0.74,0.4,0.68,0.87,0.75
212,Brent (304),Wembley High Technology College,0.84,0.61,0.77,0.98,0.94
213,Bromley (305),Beaverwood School for Girls,0.64,0.25,0.45,0.8,0.62
214,Bromley (305),Bishop Justus CofE School,0.62,0.26,0.43,0.76,0.71
215,Bromley (305),Bullers Wood School,0.71,0.49,0.53,0.83,0.81
216,Bromley (305),Charles Darwin School,0.54,0.18,0.32,0.76,0.65
217,Bromley (305),Coopers School,0.48,0.2,0.36,0.73,0.54
218,Bromley (305),Darrick Wood School,0.69,0.41,0.35,0.77,0.86
219,Bromley (305),Harris Academy Beckenham,0.56,0.2,0.47,0.75,0.71
220,Bromley (305),Harris Academy Bromley,0.64,0.33,0.5,0.75,0.85
221,Bromley (305),Hayes School,0.71,0.27,0.62,0.82,0.79
222,Bromley (305),Kemnal Technology College,0.53,0.15,0.42,0.7,0.73
223,Bromley (305),Langley Park School for Boys,0.8,0.47,0.3,0.81,0.84
224,Bromley (305),Langley Park School for Girls,0.75,0.55,0.33,0.82,0.82
225,Bromley (305),Newstead Wood School,0.99,0.77,,0.98,1.0
226,Bromley (305),The Priory School,0.41,0.1,0.28,0.61,0.62
227,Bromley (305),Ravens Wood School,0.67,0.45,0.54,0.74,0.76
228,Bromley (305),The Ravensbourne School,0.67,0.13,0.52,0.81,0.76
229,Bromley (305),St Olave's and St Saviour's Grammar School,1.0,0.93,,0.99,1.0
230,Croydon (306),Addington High School,0.37,0.05,0.36,0.69,0.46
231,Croydon (306),The Archbishop Lanfranc School,0.46,0.21,0.31,0.74,0.58
232,Croydon (306),Archbishop Tenison's CofE High School,0.7,0.37,0.36,0.93,0.72
233,Croydon (306),BRIT School for Performing Arts and Technology,0.58,0.2,0.49,0.71,0.69
234,Croydon (306),Coloma Convent Girls' School,0.9,0.75,0.88,0.89,0.94
235,Croydon (306),Edenham High School,0.44,0.24,0.33,0.77,0.48
236,Croydon (306),Harris Academy Purley,0.77,0.18,0.77,0.8,0.88
237,Croydon (306),Harris Academy South Norwood,0.67,0.36,0.65,0.74,0.75
238,Croydon (306),Harris Academy Upper Norwood,0.54,0.21,0.46,0.79,0.77
239,Croydon (306),Harris City Academy Crystal Palace,0.77,0.55,0.6,0.74,0.93
240,Croydon (306),Norbury Manor Business and Enterprise College for Girls,0.63,0.28,0.5,0.87,0.74
241,Croydon (306),Oasis Academy Coulsdon,0.46,0.05,0.4,0.67,0.48
242,Croydon (306),Oasis Academy Shirley Park,0.58,0.15,0.53,0.77,0.72
243,Croydon (306),The Quest Academy,0.48,0.1,0.47,0.93,0.76
244,Croydon (306),Riddlesdown Collegiate,0.74,0.33,0.52,0.9,0.8
245,Croydon (306),St Andrew's CofE Voluntary Aided High School,0.0,0.0,0.0,0.0,0.74
246,Croydon (306),St Joseph's College,0.56,0.21,0.54,0.78,0.64
247,Croydon (306),St Mary's Catholic High School,0.42,0.14,0.41,0.69,0.77
248,Croydon (306),Shirley High School Performing Arts College,0.52,0.2,0.46,0.68,0.54
249,Croydon (306),Thomas More Catholic School,0.63,0.12,0.55,0.85,0.71
250,Croydon (306),Virgo Fidelis Convent Senior School,0.44,0.2,0.33,0.33,0.76
251,Croydon (306),Woodcote High School,0.74,0.5,0.48,0.81,0.8
252,Ealing (307),Acton High School,0.45,0.15,0.35,0.74,0.58
253,Ealing (307),Alec Reed Academy,0.5,0.1,0.41,0.66,0.61
254,Ealing (307),Brentside High School,0.64,0.41,0.57,0.88,0.72
255,Ealing (307),The Cardinal Wiseman Catholic School,0.68,0.42,0.56,0.96,0.72
256,Ealing (307),Dormers Wells High School,0.43,0.17,0.35,0.65,0.73
257,Ealing (307),Drayton Manor High School,0.64,0.47,0.44,0.82,0.72
258,Ealing (307),The Ellen Wilkinson School for Girls,0.69,0.4,0.57,0.85,0.81
259,Ealing (307),Elthorne Park High School,0.74,0.34,0.48,0.84,0.75
260,Ealing (307),Featherstone High School,0.5,0.19,0.47,0.8,0.72
261,Ealing (307),Greenford High School,0.77,0.42,0.68,0.97,0.89
262,Ealing (307),Northolt High School,0.49,0.14,0.41,0.73,0.65
263,Ealing (307),Twyford Church of England High School,0.86,0.62,0.76,0.9,0.93
264,Ealing (307),Villiers High School,0.51,0.16,0.49,0.77,0.78
265,Ealing (307),William Perkin Church of England High School,,,,,
266,Enfield (308),ARK John Keats Academy,,,,,
267,Enfield (308),Aylward Academy,0.4,0.11,0.39,0.67,0.6
268,Enfield (308),Bishop Stopford's School,0.7,0.34,0.57,0.85,0.74
269,Enfield (308),Broomfield School,0.5,0.26,0.36,0.66,0.75
270,Enfield (308),Chace Community School,0.47,0.21,0.4,0.92,0.53
271,Enfield (308),Edmonton County School,0.49,0.18,0.45,0.79,0.59
272,Enfield (308),Enfield County School,0.63,0.34,0.52,0.72,0.68
273,Enfield (308),Enfield Grammar School,0.63,0.34,0.51,0.69,0.72
274,Enfield (308),Heron Hall Academy,,,,,
275,Enfield (308),Highlands School,0.69,0.35,0.39,0.81,0.72
276,Enfield (308),Kingsmead School,0.58,0.26,0.55,0.76,0.67
277,Enfield (308),The Latymer School,0.99,0.9,1.0,0.97,1.0
278,Enfield (308),Lea Valley High School,0.57,0.24,0.53,0.89,0.71
279,Enfield (308),Nightingale Academy,0.35,0.09,0.29,0.79,0.51
280,Enfield (308),Oasis Academy Enfield,0.63,0.24,0.52,0.86,0.66
281,Enfield (308),Oasis Academy Hadley,0.53,0.09,0.52,0.83,0.58
282,Enfield (308),St Anne's Catholic High School for Girls,0.79,0.19,0.67,0.89,0.85
283,Enfield (308),St Ignatius College,0.74,0.44,0.61,0.86,0.79
284,Enfield (308),Southgate School,0.61,0.36,0.29,0.77,0.71
285,Enfield (308),Winchmore School,0.66,0.27,0.54,0.9,0.78
286,Haringey (309),Alexandra Park School,0.72,0.38,0.62,0.78,0.89
287,Haringey (309),Fortismere School,0.78,0.59,0.39,0.84,0.83
288,Haringey (309),Gladesmore Community School,0.65,0.23,0.61,0.81,0.83
289,Haringey (309),Greig City Academy,0.45,0.16,0.43,0.82,0.61
290,Haringey (309),Heartlands High School,,,,,
291,Haringey (309),Highgate Wood Secondary School,0.67,0.28,0.5,0.77,0.81
292,Haringey (309),Hornsey School for Girls,0.69,0.23,0.64,0.93,0.76
293,Haringey (309),Northumberland Park Community School,0.4,0.07,0.41,0.61,0.62
294,Haringey (309),Park View,0.51,0.03,0.49,0.83,0.61
295,Haringey (309),St Thomas More Catholic School,0.55,0.2,0.55,0.92,0.83
296,Haringey (309),Woodside High School,0.49,0.21,0.44,0.79,0.73
297,Harrow (310),Bentley Wood High School,0.64,0.5,0.54,0.79,0.85
298,Harrow (310),Canons High School,0.54,0.16,0.4,0.8,0.74
299,Harrow (310),Harrow High School,0.54,0.1,0.48,0.79,0.68
300,Harrow (310),Hatch End High School,0.59,0.27,0.47,0.81,0.65
301,Harrow (310),Nower Hill High School,0.72,0.34,0.54,0.86,0.84
302,Harrow (310),Park High School,0.69,0.29,0.47,0.82,0.83
303,Harrow (310),Rooks Heath High School,0.53,0.25,0.48,0.8,0.72
304,Harrow (310),The Sacred Heart Language College,0.86,0.62,0.62,0.9,0.84
305,Harrow (310),Salvatorian Roman Catholic College,0.63,0.32,0.55,0.76,0.7
306,Harrow (310),Whitmore High School,0.58,0.43,0.43,0.93,0.69
307,Havering (311),Abbs Cross Academy and Arts College,0.65,0.25,0.76,0.68,0.65
308,Havering (311),The Albany School,0.52,0.15,0.34,0.76,0.63
309,Havering (311),Bower Park Academy,0.5,0.18,0.41,0.81,0.53
310,Havering (311),The Brittons Academy Trust,0.5,0.05,0.36,0.62,0.58
311,Havering (311),The Campion School,0.75,0.48,0.54,0.76,0.84
312,Havering (311),The Coopers' Company and Coborn School,0.84,0.51,0.64,0.81,0.86
313,Havering (311),Drapers' Academy,0.46,0.17,0.33,0.69,0.72
314,Havering (311),Emerson Park Academy,0.55,0.08,0.24,0.68,0.69
315,Havering (311),The Frances Bardsley Academy for Girls,0.65,0.35,0.43,0.68,0.74
316,Havering (311),Gaynes School,0.61,0.15,0.25,0.77,0.7
317,Havering (311),Hall Mead School,0.73,0.29,0.73,0.91,0.81
318,Havering (311),Marshalls Park School,0.56,0.19,0.3,0.82,0.64
319,Havering (311),Redden Court School,0.66,0.24,0.48,0.92,0.63
320,Havering (311),The Royal Liberty School,0.54,0.19,0.46,0.83,0.63
321,Havering (311),Sacred Heart of Mary Girls' School,0.78,0.57,,0.8,0.82
322,Havering (311),St Edward's Church of England School & Sixth Form College,0.58,0.29,0.48,0.65,0.63
323,Havering (311),Sanders School,0.57,0.18,0.51,0.76,0.63
324,Hillingdon (312),Abbotsfield School,0.53,0.14,0.41,0.81,0.62
325,Hillingdon (312),Barnhill Community High School,0.43,0.15,0.33,0.65,0.54
326,Hillingdon (312),Bishop Ramsey Church of England School,0.79,0.29,0.5,0.82,0.91
327,Hillingdon (312),Bishopshalt School,0.6,0.22,0.36,0.77,0.67
328,Hillingdon (312),The Douay Martyrs Catholic School,0.66,0.27,0.61,0.71,0.76
329,Hillingdon (312),Guru Nanak Sikh Academy,0.64,0.4,0.64,0.8,0.76
330,Hillingdon (312),The Harefield Academy,0.57,0.02,0.24,0.75,0.62
331,Hillingdon (312),Harlington School,0.44,0.19,0.28,0.83,0.6
332,Hillingdon (312),Haydon School,0.7,0.24,0.36,0.75,0.78
333,Hillingdon (312),Hewens College,0.61,0.31,0.44,0.79,0.77
334,Hillingdon (312),Northwood School,0.76,0.37,0.75,0.95,0.84
335,Hillingdon (312),Parkside Studio College,0.16,0.0,0.19,0.4,0.49
336,Hillingdon (312),Queensmead School,0.65,0.42,0.29,0.89,0.69
337,Hillingdon (312),Rosedale College,0.74,0.22,0.66,0.86,0.89
338,Hillingdon (312),Ruislip High School,0.68,0.31,0.36,0.79,0.72
339,Hillingdon (312),Stockley Academy,0.29,0.04,0.18,0.52,0.38
340,Hillingdon (312),Swakeleys School for Girls,0.75,0.42,0.63,0.87,0.79
341,Hillingdon (312),Uxbridge High School,0.52,0.25,0.45,0.56,0.65
342,Hillingdon (312),Vyners School,0.7,0.34,0.38,0.7,0.81
343,Hounslow (313),Brentford School for Girls,0.67,0.34,0.62,0.81,0.86
344,Hounslow (313),Chiswick School,0.64,0.33,0.45,0.74,0.71
345,Hounslow (313),Cranford Community College,0.54,0.3,0.48,0.81,0.77
346,Hounslow (313),Feltham Community College,0.51,0.22,0.4,0.87,0.69
347,Hounslow (313),The Green School,0.84,0.41,0.76,0.87,0.88
348,Hounslow (313),"Gumley House RC Convent School, FCJ",0.84,0.52,0.71,0.84,0.85
349,Hounslow (313),Gunnersbury Catholic School,0.86,0.56,0.78,0.92,0.86
350,Hounslow (313),The Heathland School,0.66,0.47,0.51,0.83,0.81
351,Hounslow (313),Heston Community School,0.66,0.14,0.42,0.84,0.77
