,LEA_CODE,LEA_NAME,LEA_REGION,PTAC5EM_PTQ_eduvis,PTAC5EMFSM_PTQ_eduvis,PTAC5EMNFSM_PTQ_eduvis,PTAC5EMLO_PTQ_eduvis,PTAC5EMAV_PTQ_eduvis,PTAC5EMHI_PTQ_eduvis,PTEBACMAT_PTQ_eduvis,PTEBACENG_PTQ_eduvis,PTEBACC_PTQ_eduvis,PTEBACC_FSM_PTQ_eduvis,PTEBACC_NFSM_PTQ_eduvis,PTEBACCLO_PTQ_eduvis,PTEBACCAV_PTQ_eduvis,PTEBACCHI_PTQ_eduvis,PT24ENGPRG_PTQ_eduvis,PT24ENGPRGLO_PTQ_eduvis,PT24ENGPRGAV_PTQ_eduvis,PT24ENGPRGHI_PTQ_eduvis,PT24MATHPRG_PTQ_eduvis,PT24MATHPRGLO_PTQ_eduvis,PT24MATHPRGAV_PTQ_eduvis,PT24MATHPRGHI_PTQ_eduvis,B8VAMEA_PTQ_eduvis,B8VAMEA_FSM_PTQ_eduvis,B8VAMEA_NFSM_PTQ_eduvis,B8VAMEA_LO_PTQ_eduvis,B8VAMEA_AV_PTQ_eduvis,B8VAMEA_HI_PTQ_eduvis,TTAPSPEPP_PTQ_eduvis,PTAC5EM_PTQ_dfe,PTAC5EMFSM_PTQ_dfe,PTAC5EMNFSM_PTQ_dfe,PTAC5EMLO_PTQ_dfe,PTAC5EMAV_PTQ_dfe,PTAC5EMHI_PTQ_dfe,PTEBACMAT_PTQ_dfe,PTEBACENG_PTQ_dfe,PTEBACC_PTQ_dfe,PTEBACC_FSM_PTQ_dfe,PTEBACC_NFSM_PTQ_dfe,PTEBACCLO_PTQ_dfe,PTEBACCAV_PTQ_dfe,PTEBACCHI_PTQ_dfe,PT24ENGPRG_PTQ_dfe,PT24ENGPRGLO_PTQ_dfe,PT24ENGPRGAV_PTQ_dfe,PT24ENGPRGHI_PTQ_dfe,PT24MATHPRG_PTQ_dfe,PT24MATHPRGLO_PTQ_dfe,PT24MATHPRGAV_PTQ_dfe,PT24MATHPRGHI_PTQ_dfe,B8VAMEA_PTQ_dfe,B8VAMEA_FSM_PTQ_dfe,B8VAMEA_NFSM_PTQ_dfe,B8VAMEA_LO_PTQ_dfe,B8VAMEA_AV_PTQ_dfe,B8VAMEA_HI_PTQ_dfe,TTAPSPEPP_PTQ_dfe,PTAC5EM_PTQ_VARIANCE,PTAC5EMFSM_PTQ_VARIANCE,PTAC5EMNFSM_PTQ_VARIANCE,PTAC5EMLO_PTQ_VARIANCE,PTAC5EMAV_PTQ_VARIANCE,PTAC5EMHI_PTQ_VARIANCE,PTEBACMAT_PTQ_VARIANCE,PTEBACENG_PTQ_VARIANCE,PTEBACC_PTQ_VARIANCE,PTEBACC_FSM_PTQ_VARIANCE,PTEBACC_NFSM_PTQ_VARIANCE,PTEBACCLO_PTQ_VARIANCE,PTEBACCAV_PTQ_VARIANCE,PTEBACCHI_PTQ_VARIANCE,PT24ENGPRG_PTQ_VARIANCE,PT24ENGPRGLO_PTQ_VARIANCE,PT24ENGPRGAV_PTQ_VARIANCE,PT24ENGPRGHI_PTQ_VARIANCE,PT24MATHPRG_PTQ_VARIANCE,PT24MATHPRGLO_PTQ_VARIANCE,PT24MATHPRGAV_PTQ_VARIANCE,PT24MATHPRGHI_PTQ_VARIANCE,B8VAMEA_PTQ_VARIANCE,B8VAMEA_FSM_PTQ_VARIANCE,B8VAMEA_NFSM_PTQ_VARIANCE,B8VAMEA_LO_PTQ_VARIANCE,B8VAMEA_AV_PTQ_VARIANCE,B8VAMEA_HI_PTQ_VARIANCE,TTAPSPEPP_PTQ_VARIANCE
137,320,Waltham Forest,London,58.38433293,48.80478088,65.03109883,9.93877551,59.3487429,93.27243067,69.04732762,71.61852305,26.8723176,5.583535857,14.22919834,0.301020408,7.058394161,39.46166395,80.28641371,67.47959184,80.42092457,87.98205546,69.25785394,36.59693878,70.64882401,86.76182708,102054.9449,101642.49,102352.4534,103797.602,102166.1395,100598.0587,3969.857201,56.7,46.1,64.4,9.1,59,93.2,67.2,69.7,23.3,15.3,29.2,1.6,17.2,55.7,77.7,61.4,79.8,87.9,67.2,33.7,70,86.6,,,,,,,38.8,-1.684332925,-2.704780876,-0.631098825,-0.83877551,-0.348742903,-0.072430669,-1.847327621,-1.918523052,-3.572317597,9.716464143,14.97080166,1.298979592,10.14160584,16.23833605,-2.586413709,-6.079591837,-0.620924574,-0.082055465,-2.057853937,-2.896938776,-0.648824006,-0.16182708,,,,,,,-3931.057201
21,202,Camden,London,62.17201166,54.26356589,72.40802676,11.62285714,58.72934473,90.58679707,71.77623907,73.6319242,32.38395904,7.08879845,25.15847826,0.457142857,8.05982906,40.02933985,76.53061224,63.24571429,76.02421652,84.16870416,70.87026239,39.92,70.93589744,82.77750611,100815.277,100101.7313,101792.0903,102212.1714,101068.4046,99801.12469,3990.393586,60.5,52.1,71.7,9.9,58.3,90.5,70.2,71.8,27.4,17.7,40.2,1.5,18.5,56.6,74.7,56.2,75.2,83.9,69,35.1,70.1,82.7,,,,,,,39,-1.672011662,-2.163565891,-0.708026756,-1.722857143,-0.429344729,-0.086797066,-1.576239067,-1.831924198,-4.983959044,10.61120155,15.04152174,1.042857143,10.44017094,16.57066015,-1.830612245,-7.045714286,-0.824216524,-0.268704156,-1.870262391,-4.82,-0.835897436,-0.077506112,,,,,,,-3951.393586
6,330,Birmingham,West Midlands,57.52309909,45.4512958,68.41341503,9.320268179,52.93236464,93.89272468,68.451919,70.07413369,32.61568123,5.940802502,20.0006256,0.284167096,5.668742432,43.23366619,75.23028044,61.29035585,73.07887909,87.05420827,67.31212404,37.30995358,66.87925964,84.50442225,100620.1882,100046.9991,101141.0119,102510.9593,100470.0588,99812.31669,3957.703974,55.9,43.5,67.4,8.2,52.7,93.9,66.6,68.2,23,14.3,31.1,1.1,13,54.2,73.6,54.7,72.8,87.1,65.7,33.4,66.6,84.5,,,,,,,38.8,-1.623099093,-1.9512958,-1.013415027,-1.120268179,-0.232364643,0.007275321,-1.851919004,-1.874133695,-9.615681234,8.359197498,11.0993744,0.815832904,7.331257568,10.96633381,-1.630280437,-6.590355854,-0.278879087,0.045791726,-1.612124036,-3.909953584,-0.279259644,-0.004422254,,,,,,,-3918.903974
30,841,Darlington,North East,58.5191793,36.98224852,67.81609195,2.654867257,45.96350365,91.11694511,69.13737734,76.41659233,28.26406926,4.075325444,15.74597701,0,3.302919708,37.14797136,78.25156111,53.14159292,76.29744526,86.66109785,59.94469224,16.85840708,53.80291971,79.19570406,99026.33363,96137.66272,100272.5798,97967.25664,98779.83577,99599.28401,3935.468332,56.9,35.1,66.6,2,45.8,90.9,67.5,74.3,23.3,12.6,28.1,0,9.1,50.8,76.3,44.9,76,86.6,58.4,13,53.6,79.2,,,,,,,38.7,-1.619179304,-1.882248521,-1.216091954,-0.654867257,-0.16350365,-0.216945107,-1.637377342,-2.116592328,-4.964069264,8.524674556,12.35402299,0,5.797080292,13.65202864,-1.951561106,-8.24159292,-0.297445255,-0.061097852,-1.544692239,-3.85840708,-0.202919708,0.004295943,,,,,,,-3896.768332
79,806,Middlesbrough,North East,48.81889764,37.26415094,58.47568988,4.408163265,44.55854643,89.44686649,57.68790265,70.50035791,16.55234657,1.076194969,5.534770039,0,0.895020188,20.03542234,76.42806013,65.07755102,76.79407806,83.32152589,51.86972083,21.17959184,52.17631225,72.3760218,98675.44739,97420.44025,99712.98292,97737.67347,98883.14939,98873.84196,3781.975662,47.2,35.4,57.4,3.9,44.2,88.9,56,68.3,11.9,6.4,16.6,0,4.9,36.3,74,57.6,76.2,82.9,50.7,20.5,51.7,72.1,,,,,,,36.9,-1.618897638,-1.864150943,-1.075689882,-0.508163265,-0.358546433,-0.546866485,-1.687902649,-2.20035791,-4.65234657,5.323805031,11.06522996,0,4.004979812,16.26457766,-2.428060129,-7.47755102,-0.594078062,-0.421525886,-1.16972083,-0.679591837,-0.476312248,-0.276021798,,,,,,,-3745.075662
122,808,Stockton-on-Tees,North East,56.68662675,32.55395683,65.95303867,4.777292576,43.77520161,90.72340426,70.31037924,67.74301397,29.86472149,1.730053957,15.83165746,0,2.771169355,37.59707447,68.64021956,46.18777293,63.24798387,82.95345745,63.27195609,20.91703057,59.68346774,81.0412234,98799.72555,95366.29496,100111.8854,97898.60262,98569.25403,99443.93617,3953.198603,55.1,30.3,65.2,3.9,43.4,90.7,68.3,65.9,23.8,6,31,0,9.3,52.4,66.8,38.1,62.7,83,61.5,17.1,59.3,81.1,,,,,,,38.6,-1.586626747,-2.253956835,-0.753038674,-0.877292576,-0.375201613,-0.023404255,-2.010379242,-1.843013972,-6.064721485,4.269946043,15.16834254,0,6.528830645,14.80292553,-1.840219561,-8.087772926,-0.547983871,0.046542553,-1.771956088,-3.817030568,-0.383467742,0.058776596,,,,,,,-3914.598603
95,874,Peterborough,Eastern England,51.55020824,30.32258065,60.0908501,7.17888563,46.76,92.6097561,60.92734845,70.4368348,24.49374131,1.591322581,11.48604153,0.014662757,3.246511628,36.4825784,76.38454419,62.70967742,76.2344186,83.83449477,56.68301712,25.58357771,55.47255814,77.771777,99999.22721,98253.43548,100728.9163,101376.8622,99839.43256,99572.78746,3822.540491,50,28.8,58.9,6.3,46.8,92.8,59.3,68.4,18.6,6.5,23.6,0.3,9.5,52,74,57.6,76.1,84.1,54.9,22.8,55.4,77.8,,,,,,,37.4,-1.550208237,-1.522580645,-1.190850097,-0.87888563,0.04,0.190243902,-1.62734845,-2.036834799,-5.893741307,4.908677419,12.11395847,0.285337243,6.253488372,15.5174216,-2.384544193,-5.109677419,-0.134418605,0.265505226,-1.783017122,-2.783577713,-0.07255814,0.028222997,,,,,,,-3785.140491
149,336,Wolverhampton,West Midlands,47.91583962,36.91542289,55.21796565,8.153684211,47.96712538,80.62698413,64.67526796,60.07383882,29.59174312,2.493412935,11.64910172,0.010526316,3.363149847,31.28730159,65.7371973,59.07157895,64.21636086,74.7984127,62.73402144,31.36631579,65.4793578,81.35873016,98953.11235,97230.29851,100111.5258,99652.42105,98805.47401,98681.65079,3857.344184,46.4,34.9,54.3,7.1,48,80.5,62.7,58.2,15.2,7.6,20.5,0.4,9.1,41.7,63.7,51.5,64.1,74.6,60.8,27,65.4,81.3,,,,,,,37.5,-1.515839619,-2.015422886,-0.917965654,-1.053684211,0.032874618,-0.126984127,-1.975267963,-1.873838825,-14.39174312,5.106587065,8.850898283,0.389473684,5.736850153,10.41269841,-2.037197301,-7.571578947,-0.116360856,-0.198412698,-1.934021437,-4.366315789,-0.079357798,-0.058730159,,,,,,,-3819.844184
14,846,Brighton and Hove,South East,55.10932619,33.55371901,63.0806846,5.706896552,49.17241379,89.29985007,65.93886658,69.76171352,26.70812183,1.235900826,13.94319682,0.117241379,4.264655172,37.45427286,73.06559572,57.78275862,70.56724138,83.49925037,63.11289603,23.42068966,61.59224138,82.49475262,99407.86702,95925.09091,100690.6296,98929.89655,99325.9569,99704.4078,3939.794734,53.6,31.4,62.4,5.1,49.1,89.1,64.2,67.8,22.5,5.6,29.1,1.5,11.9,53.8,71.1,49.8,70.4,83.1,61.5,20.4,61.4,82.4,,,,,,,38.6,-1.509326194,-2.153719008,-0.680684597,-0.606896552,-0.072413793,-0.199850075,-1.738866577,-1.961713521,-4.208121827,4.364099174,15.15680318,1.382758621,7.635344828,16.34572714,-1.965595716,-7.982758621,-0.167241379,-0.399250375,-1.612896029,-3.020689655,-0.192241379,-0.094752624,,,,,,,-3901.194734
27,331,Coventry,West Midlands,53.80011969,37.43068392,61.63716814,8.616071429,52.62761021,91.10520231,63.87821664,70.94165171,23.76,3.592504621,12.4934115,0.148214286,6.103828306,35.46242775,76.07301017,65.49107143,75.15197216,85.38034682,60.6508079,30.77678571,62.50174014,77.1699422,100534.5931,99163.13309,101214.6416,103196.125,100297.7436,99244.40462,3788.66547,52.3,35.3,60.8,7.5,52.2,91,62.3,69,19.3,10.1,23.9,0.8,12.7,48.2,74,57.4,74.9,85.2,59.2,27.3,62.2,77,,,,,,,37.2,-1.500119689,-2.130683919,-0.837168142,-1.116071429,-0.427610209,-0.105202312,-1.578216637,-1.941651706,-4.46,6.507495379,11.4065885,0.651785714,6.596171694,12.73757225,-2.073010174,-8.091071429,-0.251972158,-0.180346821,-1.450807899,-3.476785714,-0.301740139,-0.169942197,,,,,,,-3751.46547
