"Measure", "Short Description"
"PTAC5EM_PTQ", "5 A*-C or equivalent inc. Eng and Maths (%)"
"PTAC5EMFSM_PTQ", "Disadvantaged pupils 5 A*-C inc. Eng and Maths (%)"
"PTEBACC_PTQ", "EBacc pass rate (%)"
"PT24ENGPRG_PTQ", "Expected progress in English (%)"
"PT24ENGPRG_PTQ", "Expected progress in Maths (%)"
