Address,Latitude,Longitude,Easting,Northing
E1 0RH,51.516354,-0.043948,535821,181528
E1 4SD,51.518349,-0.042753,535898,181752
E1 5DJ,51.520629,-0.059275,534745,181975
E1 2DA,51.514974,-0.061,534642,181343
SW15 3DG,51.45483,-0.225564,523386,174365
SW15 2UT,51.456443,-0.207466,524639,174575
SW11 5AP,51.472906,-0.159764,527907,176488
SW11 6BF,51.456302,-0.168133,527372,174627
SW17 0AQ,51.438126,-0.180083,526592,172585
SW12 8JZ,51.444657,-0.155489,528283,173354
SW17 7DF,51.440845,-0.171039,527213,172903
SW17 9BU,51.422856,-0.151923,528592,170936
SW11 5AP,51.472906,-0.159764,527907,176488
SW18 5JR,51.446891,-0.20856,524589,173511
SW19 6QE,51.448516,-0.220168,523778,173672
SW18 5JU,51.445016,-0.197682,525350,173321
SW1P 2DY,51.496032,-0.134529,529594,179104
NW1 6RX,51.521846,-0.169079,527124,181914
NW6 7UJ,51.540534,-0.197083,525130,183944
W9 2DR,51.525351,-0.192148,525514,182264
SW1V 3AT,51.488179,-0.137198,529431,178226
NW8 0NL,51.537836,-0.176685,526552,183679
NW6 5SN,51.534276,-0.192443,525469,183256
W9 1RB,51.533026,-0.187792,525795,183125
W1U 5BA,51.52221,-0.15217,528296,181984
W2 5EZ,51.521118,-0.192935,525471,181792
SW1E 5HJ,51.497966,-0.139089,529272,179311
RM8 1JT,51.562719,0.15129,549215,187064
IG11 9AG,51.543667,0.102495,545894,184847
RM10 9QH,51.534954,0.153989,549493,183982
RM10 7UR,51.551475,0.163699,550112,185839
IG11 9UW,51.542474,0.09024,545048,184690
RM9 6XW,51.532657,0.130551,547875,183679
RM9 4UN,51.533344,0.126387,547584,183747
IG11 0HZ,51.524612,0.104486,546093,182732
RM8 1JU,51.561798,0.14562,548825,186950
RM9 5QT,51.548763,0.132573,547963,185474
RM6 6SB,51.576859,0.141292,548476,188616
RM6 6SB,51.576859,0.141292,548476,188616
N2 0GA,51.586227,-0.166506,527123,189078
N14 5RJ,51.63269,-0.136181,529092,194298
N2 0SQ,51.593955,-0.178308,526284,189917
N2 0SE,51.590983,-0.187262,525672,189571
N12 0QG,51.608524,-0.161059,527438,191567
NW7 2EP,51.608661,-0.232614,522483,191460
EN4 8PU,51.644447,-0.154706,527777,195573
N12 8TA,51.622835,-0.180937,526022,193124
N11 3LS,51.615961,-0.154764,527853,192405
NW4 1NA,51.59648,-0.214433,523775,190136
NW4 2HP,51.585696,-0.217844,523568,188931
NW11 7BN,51.581085,-0.189186,525566,188467
EN4 9GE,51.656268,-0.172832,526490,196856
HA8 8DE,51.62274,-0.2889,518549,192933
NW7 4LL,51.62775,-0.246335,521482,193560
EN5 5RR,51.651765,-0.196793,524845,196314
EN5 4DQ,51.655756,-0.212567,523743,196731
N11 1NP,51.625933,-0.152481,527983,193518
NW9 5PE,51.600792,-0.240934,521928,190571
NW4 1AB,51.592408,-0.223442,523162,189668
N12 7NJ,51.614316,-0.180757,526058,192177
N20 8AZ,51.638889,-0.200382,524632,194876
NW2 1TR,51.573405,-0.219147,523511,187562
N12 9HB,51.612645,-0.168143,526936,192013
DA5 1NE,51.446559,0.150747,549557,174146
DA16 2BL,51.456499,0.107052,546489,175163
DA6 7DA,51.460109,0.143049,548978,175637
DA15 9NU,51.448619,0.112144,546868,174297
DA18 4DW,51.49643,0.133227,548178,179656
DA15 9AG,51.435793,0.107782,546606,172862
DA14 4JN,51.428799,0.119616,547451,172108
DA8 3BN,51.474235,0.166161,550537,177255
DA1 4RS,51.455234,0.183053,551773,175177
DA16 2PE,51.457804,0.088398,545189,175271
DA15 9AW,51.438416,0.11445,547061,173167
DA6 7QJ,51.454673,0.15454,549794,175056
DA6 7QB,51.452692,0.155195,549846,174837
DA6 7AB,51.450232,0.139751,548781,174532
DA17 6HT,51.486108,0.161164,550151,178565
DA16 1LB,51.467982,0.114089,546941,176454
HA0 4JE,51.543367,-0.292701,518492,184100
HA9 9JR,51.565152,-0.278899,519392,186545
HA9 7DU,51.552289,-0.290967,518589,185095
NW10 3ST,51.539559,-0.233447,522611,183774
HA3 0UH,51.585163,-0.293285,518343,188747
NW10 4EP,51.538335,-0.246616,521701,183616
HA9 7DU,51.552289,-0.290967,518589,185095
NW2 7SN,51.563487,-0.242417,521925,186420
NW2 7SN,51.563487,-0.242417,521925,186420
HA3 9TE,51.58101,-0.281086,519199,188305
NW9 9JR,51.589675,-0.274725,519617,189279
HA9 0UU,51.562471,-0.278178,519449,186248
NW10 3RN,51.537622,-0.239188,522218,183549
HA9 8NA,51.566046,-0.289009,518689,186628
NW6 7BQ,51.540558,-0.218641,523635,183910
HA3 0NB,51.582296,-0.302688,517699,188413
HA0 3NT,51.563094,-0.310559,517203,186265
BR7 6HE,51.418617,0.089186,545368,170915
BR2 8HZ,51.382445,0.044999,542408,166806
BR7 5LJ,51.409921,0.045866,542383,169863
TN16 3AU,51.314945,0.045454,542649,159301
BR7 5PS,51.407742,0.073607,544319,169675
BR6 8ER,51.365842,0.063553,543751,164996
